Fecha,InvoicedQuantity,LineExtensionAmount,Producto,Item_ID,PrecioBase,Price_BaseQuantity,TaxTotal_Amount,TaxSubtotal_TaxableAmount,Pc_Imp,TaxSubtotal_Category_TaxScheme_ID,Charge_Indicator,Pc_Descuento,Charge_Amount,Charge_BaseAmount,Precio_comparar,Precio_Normal,Almacen,total,total_imp,nombre_original,Marca,Categoria,Sabor,Tamano,Tamano_num,Unidad,Cantidad,Sobra_nombre,Precio_Unidad
04 Jan 2024,1.0,20084.03,Detergen Liq Alk Ecologico 4L,7705946797146,20084.03,1.00,3815.97,20084.03,19.0,01,0,0.0,0,0,23900,23900.0,Alkosto,20084.0,23899.97,Detergen Liq Alk Ecologico 4L,-,-,-,-,-,-,-,-,-
27 Oct 2023,1.0,43714.29,Dogourmet Adul Carne/Parr 4Kg,7702084050157,43714.29,1.00,2185.71,43714.29,5.0,01,0,0.0,0,0,45900,45900.0,Alkosto,43714.0,45899.71,Dogourmet Adul Carne/Parr 4Kg,-,-,-,-,-,-,-,-,-
30 Nov 2023,1.0,43613.44,Domino Lata Mickey Ronda,000673122740,43613.44,1.00,8286.56,43613.45,19.0,01,0,0.0,0,0,51900,51900.0,Alkosto,43613.0,51899.56,Domino Lata Mickey Ronda,-,-,-,-,-,-,-,-,-
27 Oct 2023,1.0,7478.99,Dulc Mast Halloween 380g,7702993049310,7478.99,1.00,1421.01,7478.99,19.0,01,0,0.0,0,0,8900,8900.0,Alkosto,7479.0,8900.01,Dulc Mast Halloween 380g,-,-,-,-,-,-,-,-,-
13 May 2024,1.0,13908.00,EMPANADA P/VIEJO*500g*30und COCTEL,071793,13908.0,1.000,2642.0,13908.00,19.0,01,0,0.0,0,0,16550,16550.0,Mercamio,13908.0,16550.0,EMPANADA P/VIEJO*500g*30und COCTEL,-,-,-,-,-,-,-,-,-
23 Jan 2024,1.0,13908.00,EMPANADA P/VIEJO*500g*30und COCTEL,071793,13908.0,1.000,2642.0,13908.00,19.0,01,0,0.0,0,0,16550,16550.0,Mercamio,13908.0,16550.0,EMPANADA P/VIEJO*500g*30und COCTEL,-,-,-,-,-,-,-,-,-
01 Oct 2023,1.0,8394.00,EMPANADA P/VIEJO*500g*30und COCTEL,071793,8394.0,1.000,1596.0,8394.00,19.0,01,0,0.0,0,0,9990,9990.0,Mercamio,8394.0,9990.0,EMPANADA P/VIEJO*500g*30und COCTEL,-,-,-,-,-,-,-,-,-
27 Nov 2023,1.0,9076.00,EMPANADA P/VIEJO*600g*10und CASERA,071791,9076.0,1.000,1724.0,9076.00,19.0,01,0,0.0,0,0,10800,10800.0,Mercamio,9076.0,10800.0,EMPANADA P/VIEJO*600g*10und CASERA,-,-,-,-,-,-,-,-,-
11 Sep 2023,1.0,15084.00,ENJUAG PLAX*500ml SOFT MINT,060689,15084.0,1.000,2866.0,15084.00,19.0,01,0,0.0,0,0,17950,17950.0,Mercamio,15084.0,17950.0,ENJUAG PLAX*500ml SOFT MINT,-,-,-,-,-,-,-,-,-
31 Mar 2024,1.0,11597.00,ESPARCIBLE CANOLA LIFE*454g,023439,11597.0,1.000,2203.0,11597.00,19.0,01,0,0.0,0,0,13800,13800.0,Mercamio,11597.0,13800.0,ESPARCIBLE CANOLA LIFE*454g,-,-,-,-,-,-,-,-,-
23 Jan 2024,1.0,11596.00,ESPARCIBLE CANOLA LIFE*454g,023439,11596.0,1.000,2204.0,11596.00,19.0,01,0,0.0,0,0,13800,13800.0,Mercamio,11596.0,13800.0,ESPARCIBLE CANOLA LIFE*454g,-,-,-,-,-,-,-,-,-
27 Sep 2023,1.0,8698.00,ESPARCIBLE CANOLA LIFE*454g,023439,8698.0,1.000,1653.0,8698.00,19.0,01,0,0.0,0,0,10351,10351.0,Mercamio,8698.0,10351.0,ESPARCIBLE CANOLA LIFE*454g,-,-,-,-,-,-,-,-,-
14 Aug 2023,1.0,11597.00,ESPARCIBLE CANOLA LIFE*454g,023439,11597.0,1.000,2203.0,11597.00,19.0,01,0,0.0,0,0,13800,13800.0,Mercamio,11597.0,13800.0,ESPARCIBLE CANOLA LIFE*454g,-,-,-,-,-,-,-,-,-
04 Nov 2023,1.0,1849.00,ESPARCIBLE NATURA*125G BARRA,004807,1849.0,1.000,351.0,1849.00,19.0,01,0,0.0,0,0,2200,2200.0,Mercamio,1849.0,2200.0,ESPARCIBLE NATURA*125G BARRA,-,-,-,-,-,-,-,-,-
15 Nov 2023,1.0,2059.00,ESPARCIBLE PREMIER*125g BARRA,044303,2059.0,1.000,391.0,2059.00,19.0,01,0,0.0,0,0,2450,2450.0,Mercamio,2059.0,2450.0,ESPARCIBLE PREMIER*125g BARRA,-,-,-,-,-,-,-,-,-
27 Sep 2023,1.0,6900.00,ESPINACA BIOHUERTO*250g TIERNA ORGANICA,057320,6900.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6900,6900.0,Mercamio,6900.0,6900.0,ESPINACA BIOHUERTO*250g TIERNA ORGANICA,-,-,-,-,-,-,-,-,-
27 Aug 2023,1.0,6900.00,ESPINACA BIOHUERTO*250g TIERNA ORGANICA,057320,6900.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6900,6900.0,Mercamio,6900.0,6900.0,ESPINACA BIOHUERTO*250g TIERNA ORGANICA,-,-,-,-,-,-,-,-,-
07 Apr 2024,1.0,10040.00,ESPINACA TIERNA OR,1645179,10040.0,1.00,0.0,0,0.0,0,0,0.0,0,0,10040,10040.0,Exito,10040.0,10040.0,ESPINACA TIERNA OR,-,-,-,-,-,-,-,-,-
27 Nov 2023,0.07,392.00,ESPINACA*KILO,006332,5600.0,0.070,0.0,0,0.0,0,0,0.0,0,0,5600,5600.0,Mercamio,392.0,392.0,ESPINACA*KILO,-,-,-,-,-,-,-,-,-
04 Nov 2023,0.074,414.00,ESPINACA*KILO,006332,5594.59,0.074,0.0,0,0.0,0,0,0.0,0,0,5595,5595.0,Mercamio,414.0,414.0,ESPINACA*KILO,-,-,-,-,-,-,-,-,-
20 Oct 2023,1.0,2353.00,ESPONJA BONBRIL*3und DOBLE USO JUNIOR,062953,2353.0,1.000,447.0,2353.00,19.0,01,0,0.0,0,0,2800,2800.0,Mercamio,2353.0,2800.0,ESPONJA BONBRIL*3und DOBLE USO JUNIOR,-,-,-,-,-,-,-,-,-
27 Aug 2023,1.0,2353.00,ESPONJA BONBRIL*3und DOBLE USO JUNIOR,062953,2353.0,1.000,447.0,2353.00,19.0,01,0,0.0,0,0,2800,2800.0,Mercamio,2353.0,2800.0,ESPONJA BONBRIL*3und DOBLE USO JUNIOR,-,-,-,-,-,-,-,-,-
22 May 2024,1.0,1260.00,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,057752,1260.0,1.000,240.0,1260.00,19.0,01,0,0.0,0,0,1500,1500.0,Mercamio,1260.0,1500.0,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,-,-,-,-,-,-,-,-,-
26 Dec 2023,1.0,1176.00,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,057752,1176.0,1.000,224.0,1176.00,19.0,01,0,0.0,0,0,1400,1400.0,Mercamio,1176.0,1400.0,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,-,-,-,-,-,-,-,-,-
26 Dec 2023,1.0,1176.00,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,057752,1176.0,1.000,224.0,1176.00,19.0,01,0,0.0,0,0,1400,1400.0,Mercamio,1176.0,1400.0,ESPONJA SCOTCH BRITE*und CLASICA VER/AMA,-,-,-,-,-,-,-,-,-
03 May 2024,1.0,12597.00,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,041113,12597.0,1.000,2393.0,12597.00,19.0,01,0,0.0,0,0,14990,14990.0,Mercamio,12597.0,14990.0,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,-,-,-,-,-,-,-,-,-
27 Feb 2024,1.0,12597.00,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,041113,12597.0,1.000,2393.0,12597.00,19.0,01,0,0.0,0,0,14990,14990.0,Mercamio,12597.0,14990.0,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,-,-,-,-,-,-,-,-,-
04 Nov 2023,1.0,12597.00,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,041113,12597.0,1.000,2393.0,12597.00,19.0,01,0,0.0,0,0,14990,14990.0,Mercamio,12597.0,14990.0,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,-,-,-,-,-,-,-,-,-
01 Oct 2023,1.0,12597.00,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,041113,12597.0,1.000,2393.0,12597.00,19.0,01,0,0.0,0,0,14990,14990.0,Mercamio,12597.0,14990.0,ESPUMA PRESTOBARBA*150g SENS/AFEITAR,-,-,-,-,-,-,-,-,-
14 Feb 2024,1.0,4286.00,ESTROPAJO ESTROCAUCA GUANTE,020362,4286.0,1.000,814.0,4286.00,19.0,01,0,0.0,0,0,5100,5100.0,Mercamio,4286.0,5100.0,ESTROPAJO ESTROCAUCA GUANTE,-,-,-,-,-,-,-,-,-
12 Dec 2023,1.0,3950.00,ESTROPAJO ESTROCAUCA GUANTE,020362,3950.0,1.000,750.0,3950.00,19.0,01,0,0.0,0,0,4700,4700.0,Mercamio,3950.0,4700.0,ESTROPAJO ESTROCAUCA GUANTE,-,-,-,-,-,-,-,-,-
01 Oct 2023,1.0,3950.00,ESTROPAJO ESTROCAUCA GUANTE,020362,3950.0,1.000,750.0,3950.00,19.0,01,0,0.0,0,0,4700,4700.0,Mercamio,3950.0,4700.0,ESTROPAJO ESTROCAUCA GUANTE,-,-,-,-,-,-,-,-,-
01 Oct 2023,1.0,3950.00,ESTROPAJO ESTROCAUCA GUANTE,020362,3950.0,1.000,750.0,3950.00,19.0,01,0,0.0,0,0,4700,4700.0,Mercamio,3950.0,4700.0,ESTROPAJO ESTROCAUCA GUANTE,-,-,-,-,-,-,-,-,-
01 May 2024,1.0,15042.02,Empanada PuebloViejo x10un600g,7706808070407,15042.02,1.00,2857.98,15042.02,19.0,01,0,0.0,0,0,17900,17900.0,Alkosto,15042.0,17899.98,Empanada PuebloViejo x10un600g,-,-,-,-,-,-,-,-,-
01 May 2024,0.28,1769.00,Espinaca kg,146,7900.0,0.28,0.0,0,0.0,0,false,20.0,443.00,2212.00,6320,7900.0,Alkosto,2212.0,2212.0,Espinaca kg,-,-,-,-,-,-,-,-,-
12 Apr 2024,1.0,5798.32,Esponja Scotch Salva Unas P2L3,7702098038325,5798.32,1.00,1101.68,5798.32,19.0,01,0,0.0,0,0,6900,6900.0,Alkosto,5798.0,6899.68,Esponja Scotch Salva Unas P2L3,-,-,-,-,-,-,-,-,-
27 Oct 2023,1.0,5798.32,Esponja Scotch Salva Unas P2L3,7702098038325,5798.32,1.00,1101.68,5798.32,19.0,01,0,0.0,0,0,6900,6900.0,Alkosto,5798.0,6899.68,Esponja Scotch Salva Unas P2L3,-,-,-,-,-,-,-,-,-
16 May 2024,1.0,24768.00,Exfoliante NEUTROG,70501053607,24768.0,1.0000,4705.92,24768.00,19.0,01,false,45.0,24116,53590,29474,29474.0,Jumbo,24768.0,29473.92,Exfoliante NEUTROG,-,-,-,-,-,-,-,-,-
02 May 2024,1.0,4201.68,FIGURAS DE GOMA ESPUMA,667888368372,5000.0,1,798.32,4201.68,19.0,01,0,0.0,0,0,5798,5798.0,Dollarcity,5000.0,5798.32,FIGURAS DE GOMA ESPUMA,-,-,-,-,-,-,-,-,-
07 Jun 2024,1.622,39901.00,FILETE DE PECHUGA PORCION*KILO,043581,24599.87,1.622,0.0,0,0.0,0,0,0.0,0,0,24600,24600.0,Mercamio,39901.0,39901.0,FILETE DE PECHUGA PORCION*KILO,-,-,-,-,-,-,-,-,-
21 Apr 2024,1.584,38966.00,FILETE DE PECHUGA PORCION*KILO,043581,24599.74,1.584,0.0,0,0.0,0,0,0.0,0,0,24600,24600.0,Mercamio,38966.0,38966.0,FILETE DE PECHUGA PORCION*KILO,-,-,-,-,-,-,-,-,-
31 Mar 2024,1.656,40738.00,FILETE DE PECHUGA PORCION*KILO,043581,24600.24,1.656,0.0,0,0.0,0,0,0.0,0,0,24600,24600.0,Mercamio,40738.0,40738.0,FILETE DE PECHUGA PORCION*KILO,-,-,-,-,-,-,-,-,-
10 Mar 2024,1.562,38425.00,FILETE DE PECHUGA PORCION*KILO,043581,24599.87,1.562,0.0,0,0.0,0,0,0.0,0,0,24600,24600.0,Mercamio,38425.0,38425.0,FILETE DE PECHUGA PORCION*KILO,-,-,-,-,-,-,-,-,-
04 Feb 2024,1.0,16950.00,FILETE PECHUGA DELICHICKS*6und PORCIONAD,069496,16950.0,1.000,0.0,0,0.0,0,0,0.0,0,0,16950,16950.0,Mercamio,16950.0,16950.0,FILETE PECHUGA DELICHICKS*6und PORCIONAD,-,-,-,-,-,-,-,-,-
04 Feb 2024,1.0,16950.00,FILETE PECHUGA DELICHICKS*6und PORCIONAD,069496,16950.0,1.000,0.0,0,0.0,0,0,0.0,0,0,16950,16950.0,Mercamio,16950.0,16950.0,FILETE PECHUGA DELICHICKS*6und PORCIONAD,-,-,-,-,-,-,-,-,-
23 Jan 2024,1.0,16950.00,FILETE PECHUGA DELICHICKS*6und PORCIONAD,069496,16950.0,1.000,0.0,0,0.0,0,0,0.0,0,0,16950,16950.0,Mercamio,16950.0,16950.0,FILETE PECHUGA DELICHICKS*6und PORCIONAD,-,-,-,-,-,-,-,-,-
14 Aug 2023,1.0,12690.00,FILETE PECHUGA DELICHICKS*6und PORCIONAD,069496,12690.0,1.000,0.0,0,0.0,0,0,0.0,0,0,12690,12690.0,Mercamio,12690.0,12690.0,FILETE PECHUGA DELICHICKS*6und PORCIONAD,-,-,-,-,-,-,-,-,-
14 Aug 2023,1.0,12690.00,FILETE PECHUGA DELICHICKS*6und PORCIONAD,069496,12690.0,1.000,0.0,0,0.0,0,0,0.0,0,0,12690,12690.0,Mercamio,12690.0,12690.0,FILETE PECHUGA DELICHICKS*6und PORCIONAD,-,-,-,-,-,-,-,-,-
07 Jun 2024,1.0,7522.00,FILETE TILAPIA SELETTI*420g,072377,8850.0,1.000,0.0,0,0.0,0,false,15.0,1328.00,8853.33,7522,8850.0,Mercamio,8850.0,8850.0,FILETE TILAPIA SELETTI*420g,-,-,-,-,-,-,-,-,-
22 May 2024,1.0,8850.00,FILETE TILAPIA SELETTI*420g,072377,8850.0,1.000,0.0,0,0.0,0,0,0.0,0,0,8850,8850.0,Mercamio,8850.0,8850.0,FILETE TILAPIA SELETTI*420g,-,-,-,-,-,-,-,-,-
13 May 2024,1.0,8850.00,FILETE TILAPIA SELETTI*420g,072377,8850.0,1.000,0.0,0,0.0,0,0,0.0,0,0,8850,8850.0,Mercamio,8850.0,8850.0,FILETE TILAPIA SELETTI*420g,-,-,-,-,-,-,-,-,-
10 Apr 2024,1.0,8403.36,FLOTADOR DE PISICINA DE ESPONJ,064849391200,10000.0,1,1596.64,8403.36,19.0,01,0,0.0,0,0,11597,11597.0,Dollarcity,10000.0,11596.64,FLOTADOR DE PISICINA DE ESPONJ,-,-,-,-,-,-,-,-,-
15 Apr 2024,1.0,7800.00,FRESA BANDEJA EXTRA*500g,024953,7800.0,1.000,0.0,0,0.0,0,0,0.0,0,0,7800,7800.0,Mercamio,7800.0,7800.0,FRESA BANDEJA EXTRA*500g,-,-,-,-,-,-,-,-,-
